date,contract,total_oi
2026-07-08,CU2611,26284
2026-07-08,CU2612,43231
2026-07-08,CU2701,17019
2026-07-08,CU2702,7330
2026-07-08,CU2703,14216
2026-07-08,CU2704,8198
2026-07-08,CU2705,2998
2026-07-08,CU2706,1908
2026-07-09,CU2607,15835
2026-07-09,CU2608,153942
2026-07-09,CU2609,152203
2026-07-09,CU2610,54413
2026-07-09,CU2611,26690
2026-07-09,CU2612,45463
2026-07-09,CU2701,17475
2026-07-09,CU2702,7709
2026-07-09,CU2703,14364
2026-07-09,CU2704,8332
2026-07-09,CU2705,3103
2026-07-09,CU2706,2149
2026-07-10,CU2607,12735
2026-07-10,CU2608,149356
2026-07-10,CU2609,163926
2026-07-10,CU2610,55808
2026-07-10,CU2611,27393
2026-07-10,CU2612,45635
2026-07-10,CU2701,17735
2026-07-10,CU2702,7726
2026-07-10,CU2703,14306
2026-07-10,CU2704,8329
2026-07-10,CU2705,3109
2026-07-10,CU2706,2255
2026-07-13,CU2607,7590
2026-07-13,CU2608,142072
2026-07-13,CU2609,165332
2026-07-13,CU2610,57543
2026-07-13,CU2611,27510
2026-07-13,CU2612,47241
2026-07-13,CU2701,17912
2026-07-13,CU2702,7724
2026-07-13,CU2703,14261
2026-07-13,CU2704,8379
2026-07-13,CU2705,3104
2026-07-13,CU2706,2606
2026-07-14,CU2607,3310
2026-07-14,CU2608,145151
2026-07-14,CU2609,177778
2026-07-14,CU2610,61320
2026-07-14,CU2611,28055
2026-07-14,CU2612,47595
2026-07-14,CU2701,17965
2026-07-14,CU2702,7918
2026-07-14,CU2703,14323
2026-07-14,CU2704,8374
2026-07-14,CU2705,3167
2026-07-14,CU2706,2882
2026-07-15,CU2607,1500
2026-07-15,CU2608,140641
2026-07-15,CU2609,184297
2026-07-15,CU2610,64509
2026-07-15,CU2611,28689
2026-07-15,CU2612,48018
2026-07-15,CU2701,17959
2026-07-15,CU2702,7824
2026-07-15,CU2703,15153
2026-07-15,CU2704,8347
2026-07-15,CU2705,3146
2026-07-15,CU2706,2995
2026-07-16,CU2608,133116
2026-07-16,CU2609,185476
2026-07-16,CU2610,65683
2026-07-16,CU2611,29228
2026-07-16,CU2612,48650
2026-07-16,CU2701,18236
2026-07-16,CU2702,7863
2026-07-16,CU2703,15286
2026-07-16,CU2704,8391
2026-07-16,CU2705,3185
2026-07-16,CU2706,3015
2026-07-16,CU2707,101
2026-07-17,CU2608,127472
2026-07-17,CU2609,180125
2026-07-17,CU2610,67956
2026-07-17,CU2611,29791
2026-07-17,CU2612,49738
2026-07-17,CU2701,19012
2026-07-17,CU2702,7867
2026-07-17,CU2703,15213
2026-07-17,CU2704,8572
2026-07-17,CU2705,3388
2026-07-17,CU2706,3226
2026-07-17,CU2707,314
2026-07-20,CU2608,117335
2026-07-20,CU2609,190685
2026-07-20,CU2610,72264
2026-07-20,CU2611,31253
2026-07-20,CU2612,50606
2026-07-20,CU2701,20010
